Question,Year,League,Category,PossibleAnswerA,PossibleAnswerB,PossibleAnswerC,Possible Answer D,CorrectAnswer,Difficulty
Who was awarded the [League] League [Category] in [Year]?,2024,American,MVP,Aaron Judge,Bobby Witt Jr.,Juan Soto,Gunnar Henderson,Aaron Judge,Single
Who was awarded the [League] League [Category] in [Year]?,2023,American,MVP,Shohei Ohtani,Corey Segar,Marcus Semien,Julio Rodriguez,Shohei Ohtani,Single
Who was awarded the [League] League [Category] in [Year]?,2022,American,MVP,Aaron Judge,Shohei Ohtani,Yordan Alvarez,Jose Ramirez,Aaron Judge,Single
Who was awarded the [League] League [Category] in [Year]?,2021,American,MVP,Shohei Ohtani,Vladimir Guerrero Jr. ,Marcus Semien,Aaron Judge,Shohei Ohtani,Single
Who was awarded the [League] League [Category] in [Year]?,2020,American,MVP,Jose Abreu,Jose Ramirez,DJ LeMahieu,Shane Bieber,Jose Abreu,Single
Who was awarded the [League] League [Category] in [Year]?,2019,American,MVP,Mike Trout,Alex Bregman,Marcus Semien,DJ LeMahieu,Mike Trout,Single
Who was awarded the [League] League [Category] in [Year]?,2018,American,MVP,Mookie Betts,Mike Trout,Jose Ramirez,J.D. Martinez,Mookie Betts,Double
Who was awarded the [League] League [Category] in [Year]?,2017,American,MVP,Jose Altuve,Aaron Judge,Jose Ramirez,Mike Trout,Jose Altuve,Double
Who was awarded the [League] League [Category] in [Year]?,2016,American,MVP,Mike Trout,Mookie Betts,Jose Altuve,Josh Donaldson,Mike Trout,Double
Who was awarded the [League] League [Category] in [Year]?,2015,American,MVP,Josh Donaldson,Mike Trout,Lorenzo Cain,Manny Machado,Josh Donaldson,Double
Who was awarded the [League] League [Category] in [Year]?,2014,American,MVP,Mike Trout,Victor Martinez,Michael Brantley,Jose Abreu,Mike Trout,Double
Who was awarded the [League] League [Category] in [Year]?,2013,American,MVP,Miguel Cabrera,Mike Trout,Chris Davis,Josh Donaldson,Miguel Cabrera,Double
Who was awarded the [League] League [Category] in [Year]?,2012,American,MVP,Miguel Cabrera,Mike Trout,Adrian Beltre,Robinson Cano,Miguel Cabrera,Triple
Who was awarded the [League] League [Category] in [Year]?,2011,American,MVP,Justin Verlander,Jacoby Ellsbury,Jose Bautista,Curtis Granderson,Justin Verlander,Triple
Who was awarded the [League] League [Category] in [Year]?,2010,American,MVP,Josh Hamilton,Miguel Cabrera,Robinson Cano,Jose Bautista,Josh Hamilton,Triple
Who was awarded the [League] League [Category] in [Year]?,2009,American,MVP,Joe Mauer,Mark Teixeira,Derek Jeter,Miguel Cabrera,Joe Mauer,Triple
Who was awarded the [League] League [Category] in [Year]?,2008,American,MVP,Dustin Pedroia,Justin Morneau,Kevin Youkilis,Joe Mauer,Dustin Pedroia,Triple
Who was awarded the [League] League [Category] in [Year]?,2007,American,MVP,Alex Rodriguez,Magglio Ordonez,Vladimir Guerrero,David Ortiz,Alex Rodriguez,Triple
Who was awarded the [League] League [Category] in [Year]?,2006,American,MVP,Justin Morneau,Derek Jeter,David Ortiz,Frank Thomas,Justin Morneau,Home Run
Who was awarded the [League] League [Category] in [Year]?,2005,American,MVP,Alex Rodriguez,David Ortiz,Vladimir Guerrero,Manny Ramirez,Alex Rodriguez,Home Run
Who was awarded the [League] League [Category] in [Year]?,2004,American,MVP,Vladimir Guerrero,Gary Sheffield,Manny Ramirez,David Ortiz,Vladimir Guerrero,Home Run
Who was awarded the [League] League [Category] in [Year]?,2003,American,MVP,Alex Rodriguez,Carlos Delgado,Jorge Posada,Shannon Stewart,Alex Rodriguez,Home Run
Who was awarded the [League] League [Category] in [Year]?,2002,American,MVP,Miguel Tejada,Alex Rodriguez,Alfonso Soriano,Garret Anderson,Miguel Tejada,Home Run
Who was awarded the [League] League [Category] in [Year]?,2001,American,MVP,Ichiro Suzuki,Jsaon Giambi,Bret Boone,Roberto Alomar,Ichiro Suzuki,Home Run
Who was awarded the [League] League [Category] in [Year]?,2024,National,MVP,Shohei Ohtani,Francisco Lindor,Ketel Marte,Marcell Ozuna,Shohei Ohtani,Single
Who was awarded the [League] League [Category] in [Year]?,2023,National,MVP,Ronald Acuna Jr. ,Mookie Betts,Freddie Freeman,Matt Olson,Ronald Acuna Jr. ,Single
Who was awarded the [League] League [Category] in [Year]?,2022,National,MVP,Paul Goldschmidt,Manny Machado,Nolan Arenado,Freddie Freeman,Paul Goldschmidt,Single
Who was awarded the [League] League [Category] in [Year]?,2021,National,MVP,Bryce Harper,Juan Soto,Fernando Tatis Jr.,Brandon Crawford,Bryce Harper,Single
Who was awarded the [League] League [Category] in [Year]?,2020,National,MVP,Freddie Freeman,Mookie Betts,Manny Machado,Fernando Tatis Jr.,Freddie Freeman,Single
Who was awarded the [League] League [Category] in [Year]?,2019,National,MVP,Cody Bellinger,Christian Yelich,Anthony Rendon,Ketel Marte,Cody Bellinger,Single
Who was awarded the [League] League [Category] in [Year]?,2018,National,MVP,Christian Yelich,Javier Baez,Nolan Arenado,Freddie Freeman,Christian Yelich,Double
Who was awarded the [League] League [Category] in [Year]?,2017,National,MVP,Giancarlo Stanton,Joey Votto,Paul Goldschmidt,Nolan Arenado,Giancarlo Stanton,Double
Who was awarded the [League] League [Category] in [Year]?,2016,National,MVP,Kris Bryant,Daniel Murphy,Corey Seager,Anthony Rizzo,Kris Bryant,Double
